Feature ID	Taxon	Confidence
f8632590862826dda1066b837107638d	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__	0.9949890837363984
52ddf468e9b4020daea5fa251e0f8358	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia;s__	0.9896835362610302
286d486cc6715166d1b3e56ba5d5f12c	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiales;g__uncultured;s__	0.9999570556317045
46defb9265cad0a7f6562b2a1e85cbde	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	0.9649121239354067
0e9cb5835e996320fd8eb1578578ca5c	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;s__	0.9087775832133911
ea2c48a633db41e7f711beb20aa590ea	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter;s__	0.9420737481878891
e2ea646b8a3be67b2001d0a9c794da4e	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UKL13-1;s__	0.9981677077012372
8804c48f59b8dd108faab0e8623c8afc	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured;g__uncultured;s__	0.9992400013573682
3b21db0b43129a8c546dfd3fbf58eef1	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	0.9999995641440814
c63b0177fd771968824bada09daec477	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__	0.999999999130722
58fdd453775caef3b0e90da2cff3f984	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_3;s__	0.8802175653322863
